var 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
1 0.69 0.71 0.71 0.71 0.70 0.69 0.76 0.82 0.83 0.85 0.84 0.82 0.87 0.86 0.83 0.80 0.77 0.72 0.69 0.67 0.63 0.75 0.72 0.72 
2 0.71 0.69 0.62 0.57 0.58 0.56 0.52 0.64 0.72 0.70 0.73 0.72 0.69 0.66 0.66 0.50 0.61 0.46 0.40 0.34 0.37 0.37 0.36 0.36 
3 0.35 0.34 0.36 0.40 0.37 0.35 0.42 0.43 0.40 0.50 0.59 0.47 0.50 0.54 0.43 0.44 0.40 0.41 0.12 0.09 0.10 0.11 0.22 0.26 
4 0.19 0.24 0.23 0.22 0.19 0.28 0.23 0.41 0.41 0.43 0.40 0.33 0.53 0.41 0.26 0.26 0.33 0.23 0.25 0.27 0.28 0.25 0.24 0.21 
5 0.23 0.22 0.21 0.35 0.33 0.44 0.46 0.45 0.44 0.49 0.48 0.38 0.34 0.27 0.24 0.23 0.20 0.17 0.16 0.16 0.20 0.23 0.23 0.21 
6 0.20 0.19 0.23 0.21 0.21 0.19 0.27 0.30 0.29 0.39 0.34 0.32 0.39 0.33 0.14 0.13 0.11 0.10 0.09 0.10 0.16 0.26 0.41 0.40 
7 0.43 0.50 0.58 0.57 0.56 0.57 0.56 0.55 0.55 0.62 0.66 0.72 0.74 0.72 0.78 0.77 0.57 0.48 0.47 0.47 0.54 0.54 0.54 0.56 

#Times:
#     0    1    2    3    4    5    6    7    8    9   10   11   12   13   14   15   16   17   18   19   20   21   22   23
#1 1071 1054  963  856  778  732  672  639  541  478  442  389  394  336  367  536  523  565  514  446  407  350  292  265 
#2  183  145  545  535  478  452  378  318  258  211  207  189  272  262  353  470  291  377  318  329  396  299  288  816 
#3  780  737  722  702  636  576  490  365  317  314  235  311  329  292  312  287  253  244 1031 1076 1034  953  884  853 
#4  806  754  667  631  581  510  468  390  331  294  234  175  143  296 1269 1209  483 1193 1250 1097 1012  932  893  884 
#5  776  711  634  572  495  438  388  315  255  218  303  367  384  645  631  595  964 1286 1206 1134 1112 1026  930  905 
#6  877  785  727  677  598  543  441  332  324  264  243  241  251  309 1563 1505 1446 1388 1332 1274 1213 1151 1092 1030 
#7  972  910  848  788  729  670  611  549  489  431  372  313  252  194  137   78  629 1416 1397 1328 1326 1222 1129 1067 
# Min value.: 0.0909350872176151
# Max value.: 0.8738773916438891
# Conf. Int.: 0.95
# Mean......: 0.44
# Median....: 0.41
# Stand. Dev: 0.21
