var 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
1 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 
2 1.00 1.00 1.00 1.00 1.00 0.56 0.52 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 0.93 0.73 0.17 0.23 0.13 0.12 0.68 
3 0.20 0.16 0.61 0.48 0.37 0.16 0.15 0.48 0.11 0.79 1.00 0.74 0.98 1.00 0.63 0.62 0.93 0.50 0.38 0.21 0.08 0.07 0.58 0.12 
4 0.03 0.14 0.13 0.22 0.02 0.17 0.04 0.37 1.00 0.60 0.42 0.14 0.58 0.74 0.07 0.24 0.29 0.07 0.12 0.36 0.56 0.30 0.44 0.03 
5 0.05 0.10 0.06 0.12 0.09 0.06 0.34 0.18 0.57 0.46 1.00 0.72 0.41 0.20 0.02 0.01 0.39 0.11 0.01 0.05 0.20 0.01 0.03 0.09 
6 0.03 0.05 0.04 0.00 0.04 0.03 0.02 0.13 0.30 0.25 0.07 0.13 0.21 0.28 0.64 0.40 0.12 0.07 0.01 0.00 0.00 0.02 0.12 0.10 
7 0.07 0.70 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 0.36 1.00 1.00 1.00 1.00 

#Times:
#     0    1    2    3    4    5    6    7    8    9   10   11   12   13   14   15   16   17   18   19   20   21   22   23
#1  143  682  562  327  287  314  320  317  249  196  159  134  193  152  132  154  125  197  179  132  193  179  148  192 
#2  131   83  158  159  128  333  243  200  150  119  118   92  124  118   98  192  115  152  113  128  184  143   98  122 
#3  188  188  143  366  313  357  249  156  136  158  105  129  133  112  168  158  112  117  138  132  247  179  137  269 
#4  282  300  148  231  332  254  278  202  158  223  178  123   88   96  187  194  121  178  249  214  180  134  172  696 
#5  614  562  503  450  348  311  267  201  145  105  143  115  130  181  170  139  128  284  246  186  225  214  153  140 
#6  507  297  274  419  368  354  255  179  176  130  108  123  125  114  131  163  147  136  296 1264 1203  458  964  591 
#7  867  577  346  286  444  428  462  277  217  303  271  295  199  184  126   68  142  138  168  311  330  258  187  137 
# Min value.: 8.312551953449709E-4
# Max value.: 1.0
# Conf. Int.: 0.98
# Mean......: 0.55
# Median....: 0.54
# Stand. Dev: 0.41
