var 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
1 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 
2 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 0.66 1.00 0.26 0.20 0.15 0.10 
3 0.46 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 0.77 1.00 1.00 1.00 1.00 0.31 0.19 1.00 
4 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 0.96 0.57 1.00 1.00 1.00 0.18 0.22 0.42 
5 1.00 1.00 1.00 1.00 1.00 1.00 0.85 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 0.63 0.37 0.78 0.93 0.03 0.07 0.12 0.11 0.53 
6 0.51 0.66 0.18 0.18 0.08 1.00 0.93 0.98 0.75 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 0.24 0.22 0.24 1.00 1.00 1.00 
7 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 

#Times:
#     0    1    2    3    4    5    6    7    8    9   10   11   12   13   14   15   16   17   18   19   20   21   22   23
#1 1121  747  649  953  899  837  771  713  651  596  531  470  410  351  290  226  165  110   77  294  239  167  123   84 
#2  230  207  202  163  241  188  138   82   85   83   93   98   79   71   65   79   72   81  113  102  879  805  692  552 
#3  517  419  202  283  245  202  143  102   91   86   70   78   76   80   71   68   71   81  186  141   94  490  659  386 
#4  305  270  190  129   92  168  134   92   80   70   75   70   73   68   71   71   81   77  101  105   81  316  240  163 
#5  160  146  195  214  154  116  125   83   76   76   76   75   66   67   74  100  116   81   72 1188 1018  800  358  245 
#6  139  158  338  343  264  176  137   92   81   92   81   90  100  118   72   83   73   89 3755 3701 3559 3382 3272 2938 
#7 2855 2534 1327 1268 1207  991  785  728  670  608  525  442  404  349  308  245  186  346  534  598  469  447  889  643 
# Min value.: 0.031144781144781145
# Max value.: 1.0
# Conf. Int.: 0.98
# Mean......: 0.88
# Median....: 1.00
# Stand. Dev: 0.27
