var 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
1 0.78 0.82 0.80 0.78 0.77 0.79 0.82 0.79 0.82 0.80 0.75 0.77 0.78 0.75 0.74 0.73 0.72 0.71 0.72 0.79 0.79 0.81 0.83 0.80 
2 0.85 0.84 0.77 0.72 0.72 0.71 0.72 0.75 0.76 0.84 0.72 0.63 0.68 0.70 0.49 0.41 0.37 0.31 0.31 0.31 0.34 0.49 0.57 0.66 
3 0.69 0.65 0.58 0.62 0.63 0.63 0.71 0.70 0.79 0.79 0.66 0.60 0.55 0.46 0.33 0.12 0.11 0.10 0.09 0.09 0.16 0.47 0.66 0.67 
4 0.70 0.59 0.66 0.65 0.65 0.63 0.77 0.83 0.75 0.64 0.54 0.53 0.47 0.49 0.35 0.26 0.31 0.16 0.24 0.39 0.47 0.55 0.65 0.62 
5 0.72 0.65 0.66 0.62 0.73 0.70 0.84 0.85 0.82 0.73 0.69 0.65 0.59 0.59 0.39 0.31 0.35 0.35 0.31 0.48 0.55 0.55 0.62 0.63 
6 0.63 0.62 0.63 0.66 0.65 0.62 0.69 0.63 0.63 0.68 0.63 0.54 0.57 0.55 0.32 0.16 0.16 0.23 0.47 0.47 0.54 0.54 0.62 0.62 
7 0.72 0.79 0.78 0.77 0.81 0.83 0.80 0.77 0.82 0.81 0.83 0.83 0.81 0.79 0.79 0.77 0.78 0.78 0.80 0.78 0.79 0.83 0.81 0.81 

#Times:
#     0    1    2    3    4    5    6    7    8    9   10   11   12   13   14   15   16   17   18   19   20   21   22   23
#1  193  273  261  328  355  302  242  194  152  331  630  470  204  526  510  376  361  356  296  255  207  189  167  149 
#2  123  260  372  353  288  248  203  146  116  107  104  132   97   85   67  118  209 1368 1251 1116 1024  901  706  267 
#3  149  185  128  359  343  270  198  150  108  109  129  139  107  141  138 1041  981 1107  991  452  871  700  240  180 
#4  135  534  442  372  311  273  181  120  141  142  108  122   73   74  135  800  117  705 1094 1034  502  442  242  167 
#5  122  292  219  193  267  225  191  126  129  130  129   94   93   83   90  204  155  123  819  992  892  673  568  183 
#6  332  430  346  287  229  179  121  103  162  120  101  126   88  104   85 2511 1538 1514 3309 2622 2301 2155 1219  657 
#7  473  702  480  423  377  322  265  203  145  299  470  411  322  421  371  293  253  488  560  442  405  302  242  183 
# Min value.: 0.08716913762322441
# Max value.: 0.8516483516483516
# Conf. Int.: 0.95
# Mean......: 0.62
# Median....: 0.66
# Stand. Dev: 0.19
