var 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
1 0.77 0.81 0.80 0.80 0.79 0.78 0.78 0.77 0.79 0.77 0.75 0.80 0.86 0.87 0.85 0.82 0.84 0.89 0.86 0.74 0.72 0.66 0.72 0.92 
2 0.77 0.86 0.84 0.81 0.79 0.87 0.86 0.92 0.85 0.75 0.69 0.68 0.72 0.86 0.84 0.72 0.83 0.57 0.32 0.33 0.34 0.32 0.29 0.37 
3 0.51 0.63 0.62 0.67 0.78 0.77 0.83 0.79 0.83 0.83 0.88 0.67 0.78 0.79 0.71 0.64 0.57 0.71 0.46 0.45 0.39 0.44 0.49 0.55 
4 0.63 0.70 0.80 0.89 0.85 0.83 0.90 0.96 0.93 0.92 0.64 0.61 0.86 0.82 0.67 0.63 0.64 0.49 0.66 0.64 0.54 0.33 0.36 0.39 
5 0.60 0.67 0.59 0.68 0.66 0.68 0.65 0.64 0.71 0.68 0.66 0.69 0.87 0.75 0.68 0.42 0.37 0.55 0.58 0.23 0.24 0.25 0.26 0.32 
6 0.28 0.29 0.27 0.30 0.41 0.59 0.59 0.63 0.52 0.70 0.62 0.76 0.73 0.73 0.69 0.65 0.72 0.44 0.44 0.43 0.50 0.57 0.57 0.58 
7 0.57 0.59 0.59 0.69 0.69 0.69 0.69 0.68 0.67 0.67 0.67 0.71 0.72 0.71 0.71 0.71 0.70 0.75 0.76 0.75 0.74 0.73 0.72 0.79 

#Times:
#     0    1    2    3    4    5    6    7    8    9   10   11   12   13   14   15   16   17   18   19   20   21   22   23
#1 1418 1148 1083 1033  973  904  829  771  707  650  571  503  442  383  322  258  195  137  127  332  275  208  159  158 
#2  496  439  382  327  273  214  156  101  112  132  139  137  118  106   86  119   89  183 1019  978  917  841  755  682 
#3  617  545  468  410  349  280  211  153  139  112   82  117  102  115   87  105   82   98  668  617  821  789  728  606 
#4  510  462  341  206  228  240  180  137  120   96  105   84   96   86  130  142  101  108  171  135  155  827  617  474 
#5  474  414  390  328  253  201  168  115  100   98   99  107   80   95   88  238  180  124   91 1221 1141  968  784  680 
#6  536  510  438  389  314  239  185  138  150  119  139  176  185  141   87  115  147 3939 3914 3858 3778 3683 3521 3379 
#7 3284 3142 3032 2913 2763 2613 2526 2475 2415 2346 2267 2201 2142 2085 2027 1748 1670 1854 1810 1745 1674 1607 1558 1480 
# Min value.: 0.23310023310023306
# Max value.: 0.9646266142616506
# Conf. Int.: 0.95
# Mean......: 0.66
# Median....: 0.69
# Stand. Dev: 0.17
