var 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
1 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 
2 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 
3 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 
4 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 
5 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 0.93 1.00 1.00 0.87 1.00 1.00 1.00 1.00 
6 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 
7 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 

#Times:
#     0    1    2    3    4    5    6    7    8    9   10   11   12   13   14   15   16   17   18   19   20   21   22   23
#1 1158 1089 1028  962  901  852  787  690  507  558  497  450  378  317  257  249  204  144   91  260  213  159  108   85 
#2  639  588  521  266  291  239  189  238  191  150  104   90  126   70   80  159   99   82  556  488  420  360  296  248 
#3  189  125   89  178  118   90  336  277  214  151   95   99   72  176  119  162  138   96   84  104  227  177  167  271 
#4  345  268  232  194  117   91  204  337  281  229  158  111   87   93  123   79  349  311  247  179  127   90   98   78 
#5  149  192  144  100   93  110  316  282  331  277  211  163  103   95  170  309  503  222  388  330  297  235  179  119 
#6   96  123  122  121  102  296  307  236  135  307  264  226  379  341  332  279  216  157  114  117  132  188  124   82 
#7  364  464  757  721  678  610  582  513  452  384  321  461  463  408  373  571 1601  474  414 1266  288 1309 1259 1204 
# Min value.: 0.8696969696969697
# Max value.: 1.0
# Conf. Int.: 0.98
# Mean......: 1.00
# Median....: 1.00
# Stand. Dev: 0.01
