var 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
1 0.81 0.87 0.84 0.82 0.77 0.81 0.85 0.80 0.84 0.89 0.77 0.78 0.79 0.81 0.80 0.78 0.76 0.73 0.75 0.80 0.81 0.84 0.87 0.82 
2 0.85 0.93 0.89 0.76 0.75 0.73 0.73 0.78 0.78 0.89 0.73 0.68 0.70 0.77 0.50 0.42 0.45 0.32 0.34 0.31 0.36 0.50 0.64 0.70 
3 0.71 0.71 0.60 0.63 0.64 0.64 0.73 0.70 0.80 0.84 0.71 0.66 0.57 0.59 0.34 0.39 0.39 0.17 0.14 0.13 0.22 0.50 0.70 0.69 
4 0.74 0.67 0.73 0.70 0.67 0.64 0.79 0.85 0.80 0.71 0.59 0.55 0.48 0.50 0.40 0.39 0.35 0.21 0.24 0.41 0.53 0.56 0.66 0.63 
5 0.73 0.69 0.70 0.62 0.78 0.72 0.86 0.89 0.89 0.79 0.74 0.68 0.61 0.62 0.42 0.37 0.39 0.36 0.33 0.56 0.64 0.56 0.63 0.65 
6 0.66 0.62 0.65 0.69 0.69 0.62 0.71 0.64 0.63 0.70 0.67 0.59 0.57 0.62 0.34 0.27 0.24 0.26 0.48 0.47 0.55 0.55 0.65 0.64 
7 0.79 0.81 0.80 0.77 0.85 0.87 0.81 0.77 0.84 0.91 0.86 0.88 0.85 0.82 0.81 0.77 0.79 0.79 0.85 0.79 0.80 0.85 0.83 0.83 

#Times:
#     0    1    2    3    4    5    6    7    8    9   10   11   12   13   14   15   16   17   18   19   20   21   22   23
#1   85  133  107   96  180  197  152  115  111   84  230  170   98  157  176  117  138  185  140  138  116  116   87  107 
#2   80  118  110  145  121  114  144  102   80   78   75   86   75   68   62   86   79 1211  235  974  574  760  241  157 
#3   89  123   89   79  260  176  119   92   85   71   83   81   82   74   92  136   96  221  174  123   95  154   94  115 
#4   90  133  168  129  234  216  141   83   88   82   79   85   67   64   67  135   81   92  509  449   95  266  187  117 
#5   90  145  105   98  120   79  142   84   85   81   94   73   71   72   71  115   80   90   90  171  119  285  198  112 
#6   87  281  176  155  118  148   92   73  109   86   78   73   75   78   70  134   86   83 1442 1400 1339 1235  250  155 
#7   91  257  174  162  152  207  200  146   97   85  196  164  102  189  209  144  100  150  236  281  287  215  171  122 
# Min value.: 0.12820512820512822
# Max value.: 0.9295958279009127
# Conf. Int.: 0.98
# Mean......: 0.66
# Median....: 0.70
# Stand. Dev: 0.18
