var 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
1 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 
2 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 0.75 0.43 0.03 0.02 0.01 0.01 0.00 0.00 0.35 1.00 1.00 
3 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 0.91 0.62 0.45 0.04 0.02 0.00 0.00 0.01 0.01 0.01 0.05 1.00 1.00 
4 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 0.96 0.71 0.39 0.10 0.18 0.13 0.03 0.03 0.00 0.00 0.02 0.08 1.00 1.00 1.00 
5 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 0.77 0.10 0.02 0.05 0.02 0.00 0.18 1.00 1.00 1.00 1.00 
6 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 0.82 0.36 1.00 0.62 0.09 0.00 0.00 0.00 0.09 0.09 1.00 1.00 1.00 1.00 
7 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 

#Times:
#     0    1    2    3    4    5    6    7    8    9   10   11   12   13   14   15   16   17   18   19   20   21   22   23
#1  193  273  261  328  355  302  242  194  152  331  630  470  204  526  510  376  361  356  296  255  207  189  167  149 
#2  123  260  372  353  288  248  203  146  116  107  104  132   97   85   67  118  209 1368 1251 1116 1024  901  706  267 
#3  149  185  128  359  343  270  198  150  108  109  129  139  107  141  138 1041  981 1107  991  452  871  700  240  180 
#4  135  534  442  372  311  273  181  120  141  142  108  122   73   74  135  800  117  705 1094 1034  502  442  242  167 
#5  122  292  219  193  267  225  191  126  129  130  129   94   93   83   90  204  155  123  819  992  892  673  568  183 
#6  332  430  346  287  229  179  121  103  162  120  101  126   88  104   85 2511 1538 1514 3309 2622 2301 2155 1219  657 
#7  473  702  480  423  377  322  265  203  145  299  470  411  322  421  371  293  253  488  560  442  405  302  242  183 
# Min value.: 0.0
# Max value.: 1.0
# Conf. Int.: 0.95
# Mean......: 0.77
# Median....: 1.00
# Stand. Dev: 0.39
