var 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
1 0.81 0.85 0.84 0.80 0.80 0.79 0.79 0.78 0.80 0.77 0.76 0.81 0.87 0.88 0.86 0.83 0.85 0.90 0.88 0.76 0.75 0.69 0.75 0.98 
2 0.84 0.95 0.90 0.84 0.79 0.87 0.86 0.92 0.88 0.83 0.74 0.71 0.74 0.91 0.91 0.73 0.87 0.71 0.63 0.68 0.34 0.32 0.29 0.39 
3 0.53 0.66 0.69 0.72 0.84 0.82 0.89 0.84 0.88 0.84 0.90 0.73 0.78 0.85 0.76 0.69 0.59 0.75 0.73 0.79 0.77 0.48 0.50 0.56 
4 0.64 0.71 0.83 0.92 0.85 0.85 0.92 0.98 0.94 0.98 0.70 0.62 0.89 0.86 0.72 0.77 0.68 0.55 0.74 0.66 0.64 0.42 0.45 0.50 
5 0.71 0.90 0.71 0.75 0.74 0.80 0.72 0.69 0.74 0.74 0.70 0.71 0.89 0.77 0.70 0.61 0.44 0.60 0.61 0.24 0.25 0.27 0.35 0.52 
6 0.52 0.57 0.31 0.31 0.42 0.63 0.64 0.72 0.63 0.76 0.68 0.85 0.81 0.76 0.72 0.71 0.74 0.94 0.44 0.43 0.51 0.58 0.57 0.58 
7 0.58 0.60 0.65 0.79 0.78 0.79 0.81 0.80 0.78 0.78 0.76 0.84 0.88 0.90 0.87 0.84 0.81 0.90 0.91 0.87 0.87 0.85 0.78 0.87 

#Times:
#     0    1    2    3    4    5    6    7    8    9   10   11   12   13   14   15   16   17   18   19   20   21   22   23
#1 1121  747  649  953  899  837  771  713  651  596  531  470  410  351  290  226  165  110   77  294  239  167  123   84 
#2  230  207  202  163  241  188  138   82   85   83   93   98   79   71   65   79   72   81  113  102  879  805  692  552 
#3  517  419  202  283  245  202  143  102   91   86   70   78   76   80   71   68   71   81  186  141   94  490  659  386 
#4  305  270  190  129   92  168  134   92   80   70   75   70   73   68   71   71   81   77  101  105   81  316  240  163 
#5  160  146  195  214  154  116  125   83   76   76   76   75   66   67   74  100  116   81   72 1188 1018  800  358  245 
#6  139  158  338  343  264  176  137   92   81   92   81   90  100  118   72   83   73   89 3755 3701 3559 3382 3272 2938 
#7 2855 2534 1327 1268 1207  991  785  728  670  608  525  442  404  349  308  245  186  346  534  598  469  447  889  643 
# Min value.: 0.23530173530173532
# Max value.: 0.9849498327759197
# Conf. Int.: 0.98
# Mean......: 0.73
# Median....: 0.76
# Stand. Dev: 0.16
