var 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
1 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 
2 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 0.70 0.07 0.21 0.25 0.20 0.14 0.08 
3 0.39 0.99 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 0.93 1.00 0.67 1.00 0.35 0.29 0.17 0.19 0.17 1.00 
4 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 0.78 1.00 1.00 1.00 1.00 0.73 0.77 0.41 1.00 1.00 0.55 0.07 0.08 0.14 
5 0.92 0.91 0.81 0.80 0.81 0.72 0.63 1.00 1.00 0.82 0.93 1.00 1.00 1.00 1.00 0.26 0.24 0.51 0.74 0.03 0.06 0.10 0.05 0.19 
6 0.13 0.21 0.14 0.16 0.07 0.79 0.69 0.65 0.41 0.85 1.00 1.00 1.00 1.00 1.00 0.78 1.00 0.24 0.23 0.21 0.22 0.99 1.00 1.00 
7 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 

#Times:
#     0    1    2    3    4    5    6    7    8    9   10   11   12   13   14   15   16   17   18   19   20   21   22   23
#1 1418 1148 1083 1033  973  904  829  771  707  650  571  503  442  383  322  258  195  137  127  332  275  208  159  158 
#2  496  439  382  327  273  214  156  101  112  132  139  137  118  106   86  119   89  183 1019  978  917  841  755  682 
#3  617  545  468  410  349  280  211  153  139  112   82  117  102  115   87  105   82   98  668  617  821  789  728  606 
#4  510  462  341  206  228  240  180  137  120   96  105   84   96   86  130  142  101  108  171  135  155  827  617  474 
#5  474  414  390  328  253  201  168  115  100   98   99  107   80   95   88  238  180  124   91 1221 1141  968  784  680 
#6  536  510  438  389  314  239  185  138  150  119  139  176  185  141   87  115  147 3939 3914 3858 3778 3683 3521 3379 
#7 3284 3142 3032 2913 2763 2613 2526 2475 2415 2346 2267 2201 2142 2085 2027 1748 1670 1854 1810 1745 1674 1607 1558 1480 
# Min value.: 0.030303030303030304
# Max value.: 1.0
# Conf. Int.: 0.95
# Mean......: 0.81
# Median....: 1.00
# Stand. Dev: 0.32
