var 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
1 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 
2 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 0.94 0.47 0.03 0.06 0.01 0.05 0.01 0.01 0.41 1.00 1.00 
3 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 0.80 0.86 0.05 0.13 0.03 0.02 0.07 0.02 0.05 0.25 1.00 1.00 
4 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 0.97 0.55 0.10 0.20 0.27 0.16 0.04 0.02 0.00 0.04 0.40 1.00 1.00 1.00 
5 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 0.89 0.13 0.04 0.10 0.03 0.00 1.00 1.00 1.00 1.00 1.00 
6 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 0.62 1.00 0.82 0.11 0.02 0.05 0.06 0.20 0.16 1.00 1.00 1.00 1.00 
7 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 

#Times:
#     0    1    2    3    4    5    6    7    8    9   10   11   12   13   14   15   16   17   18   19   20   21   22   23
#1   85  133  107   96  180  197  152  115  111   84  230  170   98  157  176  117  138  185  140  138  116  116   87  107 
#2   80  118  110  145  121  114  144  102   80   78   75   86   75   68   62   86   79 1211  235  974  574  760  241  157 
#3   89  123   89   79  260  176  119   92   85   71   83   81   82   74   92  136   96  221  174  123   95  154   94  115 
#4   90  133  168  129  234  216  141   83   88   82   79   85   67   64   67  135   81   92  509  449   95  266  187  117 
#5   90  145  105   98  120   79  142   84   85   81   94   73   71   72   71  115   80   90   90  171  119  285  198  112 
#6   87  281  176  155  118  148   92   73  109   86   78   73   75   78   70  134   86   83 1442 1400 1339 1235  250  155 
#7   91  257  174  162  152  207  200  146   97   85  196  164  102  189  209  144  100  150  236  281  287  215  171  122 
# Min value.: 0.0
# Max value.: 1.0
# Conf. Int.: 0.98
# Mean......: 0.80
# Median....: 1.00
# Stand. Dev: 0.37
