var 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
1 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 
2 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 
3 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 0.51 1.00 1.00 
4 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 0.95 1.00 
5 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 0.85 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 
6 1.00 1.00 1.00 1.00 0.26 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 0.61 0.48 1.00 
7 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 

#Times:
#     0    1    2    3    4    5    6    7    8    9   10   11   12   13   14   15   16   17   18   19   20   21   22   23
#1  166  472  497  437  377  301  257  197  144   97  143   91  216  156  129  163  149  104  145   98  172  138   90  100 
#2  112  208  151   93   71  192  133   77   89   92  157  107  123  102  113  175  131   80   82   98   74  146  173  138 
#3   97  168  107  126  347  325  234  217  158  104  103  110  107   81   75   86  136  101   82   81   71  196  126   80 
#4   85  135  250  192  142   83  209  128   98  244  205  189  129   91  104  124  111  125   73   74   81   85   82  128 
#5   78   97  205  150   88   71  324  268  208  148  105  191  138   78  151   95  140   95   70   89   70   78  105   77 
#6  114  143   98  102  219  165  107  200  149   99  123   84  146  114   88  107   73  121   78   70   63  266  216  156 
#7   95  531  471  577  519  459  399  337  202  364  309  251  192  133   73  176  195  152  103  409  362  267  204  137 
# Min value.: 0.2602739726027397
# Max value.: 1.0
# Conf. Int.: 0.98
# Mean......: 0.99
# Median....: 1.00
# Stand. Dev: 0.08
