var 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
1 0.82 0.81 0.80 0.73 0.92 1.00 0.97 0.89 0.94 0.92 0.94 0.93 1.00 0.97 0.95 0.94 0.84 0.88 0.92 0.90 0.82 0.72 0.65 0.78 
2 0.73 0.62 0.62 0.73 0.55 0.65 0.65 0.65 0.80 0.84 0.83 0.83 0.69 0.62 0.68 0.69 0.62 0.67 0.66 0.73 0.72 0.76 0.67 0.72 
3 0.50 0.47 0.47 0.55 0.71 0.53 0.55 0.69 0.73 0.71 0.74 0.70 0.72 0.76 0.80 0.73 0.67 0.69 0.65 0.52 0.58 0.71 0.63 0.68 
4 0.70 0.74 0.65 0.79 0.84 0.65 0.75 0.81 0.69 0.82 0.81 0.85 0.91 0.95 0.76 0.66 0.77 0.98 0.83 0.76 0.62 0.74 0.69 0.63 
5 0.54 0.75 0.70 0.50 0.72 0.54 0.60 0.66 0.69 0.87 0.83 0.89 0.92 0.69 0.73 0.72 0.79 0.67 0.67 0.75 0.75 0.74 0.78 0.84 
6 0.64 0.61 0.65 0.55 0.53 0.57 0.69 0.70 0.71 0.91 0.93 1.00 1.00 0.99 0.94 0.91 0.92 0.86 0.73 0.85 0.88 0.72 0.73 0.72 
7 0.76 0.81 0.74 0.66 0.80 0.79 0.85 0.95 0.82 0.86 0.85 0.88 0.92 0.88 0.88 0.87 0.82 0.82 0.84 0.84 0.83 0.78 0.87 0.81 

#Times:
#     0    1    2    3    4    5    6    7    8    9   10   11   12   13   14   15   16   17   18   19   20   21   22   23
#1  228  174  117   69   75   78  118  123  222  246  186  127   74  195  152  192  266  201  185  122  170  142  108   97 
#2  125  129  107   67  429  167  220  248  174  128   90   78  102  109  119  118   97  183  245  211  156  104   75  109 
#3  175  137   87   71   69  112  217  273  233  173  126   92   83   73   84  100   71  107   81  208  145  111  101  106 
#4  127  109  110   74   80  208  138   90  144   86   83   87  122   71   89  167  119   74  143   84   83   81  107  136 
#5  109   71  115   64  105  244  121  128   92   95   71   78   73  123   77  127   77  141  123  171  121   71  113   90 
#6   84  140   84   85  169  155  188  168  102   94  130  104   72  205  204  152  106   85  167  106   64  134   85  147 
#7   93  103  118   73  157  432  172  147  278  236  206  146  114  133  233  173  149  157  229  189  187  130   90  288 
# Min value.: 0.471264367816092
# Max value.: 1.0
# Conf. Int.: 0.98
# Mean......: 0.76
# Median....: 0.75
# Stand. Dev: 0.12
