var 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
1 0.92 0.92 0.89 0.85 0.89 0.87 0.86 0.93 1.00 0.98 0.93 0.98 0.98 0.98 0.97 0.96 0.92 0.80 0.69 0.78 0.73 0.69 0.65 0.47 
2 0.50 0.53 0.78 0.68 0.62 0.63 0.63 0.71 0.69 0.73 0.77 0.75 0.72 0.70 0.78 0.86 0.82 0.70 0.71 0.60 0.62 0.74 0.75 0.80 
3 0.90 0.85 0.85 0.86 0.85 0.88 0.89 0.86 0.88 0.85 0.85 0.84 0.81 0.78 0.84 0.85 0.83 0.83 0.75 0.70 0.67 0.72 0.73 0.79 
4 0.78 0.78 0.79 0.71 0.71 0.71 0.81 0.78 0.77 0.76 0.77 0.75 0.72 0.73 0.74 0.74 0.80 0.86 0.94 0.73 0.72 0.71 0.72 0.76 
5 0.71 0.77 0.77 0.65 0.65 0.57 0.57 0.63 0.70 0.74 0.70 0.71 0.71 0.71 0.70 0.72 0.65 0.71 0.73 0.66 0.62 0.56 0.52 0.50 
6 0.69 0.55 0.60 0.64 0.62 0.68 0.73 0.76 0.74 0.75 0.68 0.77 0.76 0.66 0.66 0.67 0.67 0.73 0.72 0.72 0.81 0.66 0.73 0.85 
7 0.84 0.84 0.86 0.83 0.85 0.85 0.87 0.85 0.84 0.82 0.79 0.77 0.78 0.90 0.88 0.85 0.86 0.85 0.85 0.87 0.90 0.86 0.86 0.92 

#Times:
#     0    1    2    3    4    5    6    7    8    9   10   11   12   13   14   15   16   17   18   19   20   21   22   23
#1  135  112   95  133  159  115  231  172  161  151  379  375  320  253  193  130  119  164  120   72   81   86   80  242 
#2  190  131  102  127  527  455  353  290  269  215  164  128   87   77   99   95   77   91   74   75  193  161  169  128 
#3   92  114  165  229  196  119  161  216  218  157  108  125   83   78  262  237  176  107   85   79  107   79  116  105 
#4  105  123   71  606  581  478  200  153  102  221  174  126   99  220  253  211  151  115   81   76   70  139  125   91 
#5  122   93  182  531  488  411  296  239  160  109  133  196  147   93  170  133  188  139   93   81  113  117  209  148 
#6  108  639  628  568  505  411  364  307  241  187  133   89  134  171  175  130  187  155  157  115   76 1493 1490 1333 
#7 1287 1237  836 1083 1005  927  596  528  453  355  338  293  245  179  132   82  294  234  174  150  149  194  225  177 
# Min value.: 0.4745708836617928
# Max value.: 1.0
# Conf. Int.: 0.98
# Mean......: 0.77
# Median....: 0.76
# Stand. Dev: 0.11
