var 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
1 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 
2 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 0.47 0.41 0.44 0.24 0.08 0.35 
3 0.31 0.28 1.00 1.00 1.00 1.00 1.00 1.00 1.00 0.79 1.00 1.00 1.00 1.00 0.77 1.00 1.00 0.49 0.48 0.08 0.32 0.18 0.33 0.84 
4 0.43 1.00 1.00 1.00 1.00 1.00 0.57 0.66 1.00 1.00 1.00 1.00 1.00 0.43 0.96 1.00 1.00 0.47 0.38 0.38 0.07 0.04 1.00 1.00 
5 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 0.78 1.00 1.00 1.00 0.88 0.43 0.25 0.56 0.09 
6 1.00 1.00 0.33 0.26 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 0.72 0.40 0.94 0.49 0.42 1.00 0.65 0.47 0.12 0.05 
7 0.28 0.05 0.32 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 

#Times:
#     0    1    2    3    4    5    6    7    8    9   10   11   12   13   14   15   16   17   18   19   20   21   22   23
#1  107   88  115   93   88   71  135  157  119  130   95  102   83   88  100   75   95   68   95   87  101  123   97   82 
#2   73   75   91   72   98   71   93   72   90   91   81   69   77   82   80   70   85   68   91   75   77   75   73   93 
#3   85   79   79  119   92   72  184  138   73   78   77   84   81   74   73   81   75   68   83   66   97  168   97  110 
#4   74   81   77   84   96   74  157  100   86   68   94   63   73   75   95   74   74   72   85   68   81   75  100   74 
#5   68   95  111   90   92   66   86   96   84   86   76   73   68   74   72   86   71   63   81   88   81   76   81   74 
#6   72   74   93  111   94   77  187   94   81   81   72   73   75   66   78   86   88   65   91   70   93   77   83   87 
#7   81   83  116  130   81   72  245  134   83  118   97   90  100   84   87   69  101   69  133   94   87   97   76  109 
# Min value.: 0.04
# Max value.: 1.0
# Conf. Int.: 0.98
# Mean......: 0.84
# Median....: 1.00
# Stand. Dev: 0.29
