var 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
1 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 0.83 0.14 
2 0.30 0.67 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 
3 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 
4 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 
5 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 0.42 0.19 
6 1.00 0.54 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 
7 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 

#Times:
#     0    1    2    3    4    5    6    7    8    9   10   11   12   13   14   15   16   17   18   19   20   21   22   23
#1  135  112   95  133  159  115  231  172  161  151  379  375  320  253  193  130  119  164  120   72   81   86   80  242 
#2  190  131  102  127  527  455  353  290  269  215  164  128   87   77   99   95   77   91   74   75  193  161  169  128 
#3   92  114  165  229  196  119  161  216  218  157  108  125   83   78  262  237  176  107   85   79  107   79  116  105 
#4  105  123   71  606  581  478  200  153  102  221  174  126   99  220  253  211  151  115   81   76   70  139  125   91 
#5  122   93  182  531  488  411  296  239  160  109  133  196  147   93  170  133  188  139   93   81  113  117  209  148 
#6  108  639  628  568  505  411  364  307  241  187  133   89  134  171  175  130  187  155  157  115   76 1493 1490 1333 
#7 1287 1237  836 1083 1005  927  596  528  453  355  338  293  245  179  132   82  294  234  174  150  149  194  225  177 
# Min value.: 0.14049586776859505
# Max value.: 1.0
# Conf. Int.: 0.98
# Mean......: 0.98
# Median....: 1.00
# Stand. Dev: 0.12
