var 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
1 0.84 0.93 0.91 0.88 0.92 0.92 0.96 0.89 0.94 0.92 0.92 0.93 1.00 1.00 1.00 1.00 1.00 1.00 0.94 0.90 0.75 0.69 0.79 0.83 
2 0.79 0.81 0.77 0.86 0.85 0.81 0.93 0.94 0.98 0.87 0.95 1.00 0.90 0.86 0.88 0.85 0.76 0.64 0.53 0.50 0.51 0.44 0.47 0.46 
3 0.46 0.46 0.60 0.65 0.65 0.77 0.67 0.73 0.78 0.67 0.65 0.66 0.68 0.77 0.56 0.57 0.58 0.47 0.47 0.42 0.52 0.43 0.44 0.55 
4 0.49 0.64 0.59 0.86 0.80 0.77 0.58 0.58 0.65 0.77 0.73 0.74 0.69 0.58 0.57 0.76 0.73 0.53 0.49 0.46 0.37 0.40 0.54 0.55 
5 0.75 0.71 0.58 0.62 0.77 0.75 0.77 0.76 0.72 0.77 0.78 0.76 0.62 0.63 0.71 0.59 0.63 0.78 0.75 0.64 0.52 0.41 0.54 0.44 
6 0.57 0.67 0.51 0.43 0.65 0.69 0.79 0.85 0.88 0.84 0.85 0.76 0.74 0.75 0.64 0.51 0.62 0.57 0.52 0.62 0.57 0.54 0.39 0.38 
7 0.53 0.47 0.49 0.60 0.79 0.78 0.82 0.87 0.95 0.96 0.92 0.92 1.00 0.97 0.89 0.79 0.87 0.85 0.91 0.86 0.86 0.74 0.83 0.78 

#Times:
#     0    1    2    3    4    5    6    7    8    9   10   11   12   13   14   15   16   17   18   19   20   21   22   23
#1  107   88  115   93   88   71  135  157  119  130   95  102   83   88  100   75   95   68   95   87  101  123   97   82 
#2   73   75   91   72   98   71   93   72   90   91   81   69   77   82   80   70   85   68   91   75   77   75   73   93 
#3   85   79   79  119   92   72  184  138   73   78   77   84   81   74   73   81   75   68   83   66   97  168   97  110 
#4   74   81   77   84   96   74  157  100   86   68   94   63   73   75   95   74   74   72   85   68   81   75  100   74 
#5   68   95  111   90   92   66   86   96   84   86   76   73   68   74   72   86   71   63   81   88   81   76   81   74 
#6   72   74   93  111   94   77  187   94   81   81   72   73   75   66   78   86   88   65   91   70   93   77   83   87 
#7   81   83  116  130   81   72  245  134   83  118   97   90  100   84   87   69  101   69  133   94   87   97   76  109 
# Min value.: 0.37416904083570746
# Max value.: 1.0
# Conf. Int.: 0.98
# Mean......: 0.72
# Median....: 0.74
# Stand. Dev: 0.17
